entity,slug,code,year,population,source_url
Bosnia And Herzegovina,bosnia-and-herzegovina,bosnia-and-herzegovina,2024,3171946,https://worldpopulationreview.com/countries/bosnia-and-herzegovina
Bosnia And Herzegovina,bosnia-and-herzegovina,bosnia-and-herzegovina,2025,3140095,https://worldpopulationreview.com/countries/bosnia-and-herzegovina
Bosnia And Herzegovina,bosnia-and-herzegovina,bosnia-and-herzegovina,2026,3114242,https://worldpopulationreview.com/countries/bosnia-and-herzegovina
Botswana,botswana,botswana,2024,2522876,https://worldpopulationreview.com/countries/botswana
Botswana,botswana,botswana,2025,2562122,https://worldpopulationreview.com/countries/botswana
Botswana,botswana,botswana,2026,2603388,https://worldpopulationreview.com/countries/botswana
Brazil,brazil,brazil,2024,211982092,https://worldpopulationreview.com/countries/brazil
Brazil,brazil,brazil,2025,212812405,https://worldpopulationreview.com/countries/brazil
Brazil,brazil,brazil,2026,213562666,https://worldpopulationreview.com/countries/brazil
British Virgin Islands,british-virgin-islands,british-virgin-islands,2024,39213,https://worldpopulationreview.com/countries/british-virgin-islands
British Virgin Islands,british-virgin-islands,british-virgin-islands,2025,39732,https://worldpopulationreview.com/countries/british-virgin-islands
British Virgin Islands,british-virgin-islands,british-virgin-islands,2026,39936,https://worldpopulationreview.com/countries/british-virgin-islands
Brunei,brunei,brunei,2024,462545,https://worldpopulationreview.com/countries/brunei
Brunei,brunei,brunei,2025,466330,https://worldpopulationreview.com/countries/brunei
Brunei,brunei,brunei,2026,469775,https://worldpopulationreview.com/countries/brunei
Bulgaria,bulgaria,bulgaria,2024,6758378,https://worldpopulationreview.com/countries/bulgaria
Bulgaria,bulgaria,bulgaria,2025,6714560,https://worldpopulationreview.com/countries/bulgaria
Bulgaria,bulgaria,bulgaria,2026,6667659,https://worldpopulationreview.com/countries/bulgaria
Burkina Faso,burkina-faso,burkina-faso,2024,23555402,https://worldpopulationreview.com/countries/burkina-faso
Burkina Faso,burkina-faso,burkina-faso,2025,24074580,https://worldpopulationreview.com/countries/burkina-faso
Burkina Faso,burkina-faso,burkina-faso,2026,24601700,https://worldpopulationreview.com/countries/burkina-faso
Burundi,burundi,burundi,2024,14035410,https://worldpopulationreview.com/countries/burundi
Burundi,burundi,burundi,2025,14390003,https://worldpopulationreview.com/countries/burundi
Burundi,burundi,burundi,2026,14729157,https://worldpopulationreview.com/countries/burundi
Cambodia,cambodia,cambodia,2024,17623480,https://worldpopulationreview.com/countries/cambodia
Cambodia,cambodia,cambodia,2025,17847982,https://worldpopulationreview.com/countries/cambodia
Cambodia,cambodia,cambodia,2026,18051219,https://worldpopulationreview.com/countries/cambodia
Cameroon,cameroon,cameroon,2024,29145581,https://worldpopulationreview.com/countries/cameroon
Cameroon,cameroon,cameroon,2025,29879337,https://worldpopulationreview.com/countries/cameroon
Cameroon,cameroon,cameroon,2026,30640817,https://worldpopulationreview.com/countries/cameroon
Canada,canada,canada,2024,39735759,https://worldpopulationreview.com/countries/canada
Canada,canada,canada,2025,40126723,https://worldpopulationreview.com/countries/canada
Canada,canada,canada,2026,40467728,https://worldpopulationreview.com/countries/canada
Cape Verde,cape-verde,cape-verde,2024,524797,https://worldpopulationreview.com/countries/cape-verde
Cape Verde,cape-verde,cape-verde,2025,527326,https://worldpopulationreview.com/countries/cape-verde
Cape Verde,cape-verde,cape-verde,2026,529630,https://worldpopulationreview.com/countries/cape-verde
Cayman Islands,cayman-islands,cayman-islands,2024,74412,https://worldpopulationreview.com/countries/cayman-islands
Cayman Islands,cayman-islands,cayman-islands,2025,75844,https://worldpopulationreview.com/countries/cayman-islands
Cayman Islands,cayman-islands,cayman-islands,2026,77196,https://worldpopulationreview.com/countries/cayman-islands
Central African Republic,central-african-republic,central-african-republic,2024,5415951,https://worldpopulationreview.com/countries/central-african-republic
Central African Republic,central-african-republic,central-african-republic,2025,5513282,https://worldpopulationreview.com/countries/central-african-republic
Central African Republic,central-african-republic,central-african-republic,2026,5698984,https://worldpopulationreview.com/countries/central-african-republic
Chad,chad,chad,2024,20247900,https://worldpopulationreview.com/countries/chad
Chad,chad,chad,2025,21003705,https://worldpopulationreview.com/countries/chad
Chad,chad,chad,2026,21560380,https://worldpopulationreview.com/countries/chad
Chile,chile,chile,2024,19762062,https://worldpopulationreview.com/countries/chile
Chile,chile,chile,2025,19859921,https://worldpopulationreview.com/countries/chile
Chile,chile,chile,2026,19945850,https://worldpopulationreview.com/countries/chile
China,china,china,2024,1418098094,https://worldpopulationreview.com/countries/china
China,china,china,2025,1416096094,https://worldpopulationreview.com/countries/china
China,china,china,2026,1412914089,https://worldpopulationreview.com/countries/china
Colombia,colombia,colombia,2024,52866507,https://worldpopulationreview.com/countries/colombia
Colombia,colombia,colombia,2025,53425635,https://worldpopulationreview.com/countries/colombia
Colombia,colombia,colombia,2026,53936226,https://worldpopulationreview.com/countries/colombia
Comoros,comoros,comoros,2024,866710,https://worldpopulationreview.com/countries/comoros
Comoros,comoros,comoros,2025,882847,https://worldpopulationreview.com/countries/comoros
Comoros,comoros,comoros,2026,899010,https://worldpopulationreview.com/countries/comoros
Cook Islands,cook-islands,cook-islands,2024,13739,https://worldpopulationreview.com/countries/cook-islands
Cook Islands,cook-islands,cook-islands,2025,13263,https://worldpopulationreview.com/countries/cook-islands
Cook Islands,cook-islands,cook-islands,2026,12826,https://worldpopulationreview.com/countries/cook-islands
Costa Rica,costa-rica,costa-rica,2024,5129224,https://worldpopulationreview.com/countries/costa-rica
Costa Rica,costa-rica,costa-rica,2025,5152950,https://worldpopulationreview.com/countries/costa-rica
Costa Rica,costa-rica,costa-rica,2026,5174789,https://worldpopulationreview.com/countries/costa-rica
Croatia,croatia,croatia,2024,3869320,https://worldpopulationreview.com/countries/croatia
Croatia,croatia,croatia,2025,3848160,https://worldpopulationreview.com/countries/croatia
Croatia,croatia,croatia,2026,3822345,https://worldpopulationreview.com/countries/croatia
Cuba,cuba,cuba,2024,10985033,https://worldpopulationreview.com/countries/cuba
Cuba,cuba,cuba,2025,10937203,https://worldpopulationreview.com/countries/cuba
Cuba,cuba,cuba,2026,10892659,https://worldpopulationreview.com/countries/cuba
Curacao,curacao,curacao,2024,185393,https://worldpopulationreview.com/countries/curacao
Curacao,curacao,curacao,2025,185487,https://worldpopulationreview.com/countries/curacao
Curacao,curacao,curacao,2026,185440,https://worldpopulationreview.com/countries/curacao
Cyprus,cyprus,cyprus,2024,1357053,https://worldpopulationreview.com/countries/cyprus
Cyprus,cyprus,cyprus,2025,1370754,https://worldpopulationreview.com/countries/cyprus
Cyprus,cyprus,cyprus,2026,1382334,https://worldpopulationreview.com/countries/cyprus
Czechia,czechia,czechia,2024,10597417,https://worldpopulationreview.com/countries/czechia
Czechia,czechia,czechia,2025,10609239,https://worldpopulationreview.com/countries/czechia
Czechia,czechia,czechia,2026,10527781,https://worldpopulationreview.com/countries/czechia
Denmark,denmark,denmark,2024,5968312,https://worldpopulationreview.com/countries/denmark
Denmark,denmark,denmark,2025,6002507,https://worldpopulationreview.com/countries/denmark
Denmark,denmark,denmark,2026,6023520,https://worldpopulationreview.com/countries/denmark
Djibouti,djibouti,djibouti,2024,1168298,https://worldpopulationreview.com/countries/djibouti
Djibouti,djibouti,djibouti,2025,1184076,https://worldpopulationreview.com/countries/djibouti
Djibouti,djibouti,djibouti,2026,1199459,https://worldpopulationreview.com/countries/djibouti
Dominica,dominica,dominica,2024,66211,https://worldpopulationreview.com/countries/dominica
Dominica,dominica,dominica,2025,65871,https://worldpopulationreview.com/countries/dominica
Dominica,dominica,dominica,2026,65511,https://worldpopulationreview.com/countries/dominica
Dominican Republic,dominican-republic,dominican-republic,2024,11418050,https://worldpopulationreview.com/countries/dominican-republic
Dominican Republic,dominican-republic,dominican-republic,2025,11520487,https://worldpopulationreview.com/countries/dominican-republic
Dominican Republic,dominican-republic,dominican-republic,2026,11609500,https://worldpopulationreview.com/countries/dominican-republic
